2153	492310.5505	5422917.8778	319.5835
2163	492277.5256	5422902.8164	319.7735
2193	493023.5214	5422186.1114	351.1905
2203	492990.8709	5422077.8196	356.3545
2213	493510.4319	5422096.2579	359.0675
2223	493745.1716	5421745.4807	387.2695
2233	493591.7068	5421743.0600	391.3365
2253	492643.7889	5420253.5013	275.8045
2263	492506.2349	5419489.8708	389.7975
2264	492550.6279	5419460.8336	391.5875
2283	492458.7888	5419064.8757	389.1875
2293	493479.9141	5418886.8706	371.9765
2303	493438.6889	5419170.5063	375.1225
2309	492949.1571	5421736.2084	364.7050
2323	493010.8642	5420115.5750	275.5775
2353	493719.4699	5420087.0143	306.2095
2363	492782.0095	5420634.9431	275.7765
2373	492995.5167	5420481.2373	274.9135
2383	494328.9543	5419844.0690	345.7535
2393	494491.0076	5419878.4918	352.6445
2403	494332.9103	5421102.3371	274.5435
2409	492990.4824	5421339.4004	361.4920
2423	494364.1222	5420796.1838	274.3435
2433	494875.8417	5420316.2723	351.2795
2443	495150.6090	5420330.0168	350.8225
2463	494440.8884	5421581.9828	364.7085
2464	494428.9675	5421582.1585	365.3925
2474	494401.6669	5421580.9069	366.7945
2483	494636.5204	5419520.1835	384.0245
2493	494646.5496	5419522.9424	383.7205
2503	495689.2590	5422556.3273	335.6195
2513	495910.3939	5422604.4074	329.7315
2523	495975.4914	5422120.9095	303.5195
2533	495763.6333	5421885.6932	284.6875
2543	495913.1416	5423225.6576	317.9385
2553	495929.1775	5423174.8348	318.5395
2563	496666.0436	5422203.8440	312.6935
2583	498234.4838	5422233.9723	328.5255
2593	497876.3026	5422468.5848	330.4035
2633	496805.9003	5419016.0344	267.6605
2643	496810.8866	5418905.3406	267.8385
2653	496835.0809	5419335.8287	275.6025
2683	497676.3937	5418982.3246	284.8525
2693	497622.7613	5418925.6559	292.6225
2713	492324.5779	5419342.2576	406.2315
2723	495052.6823	5421418.5084	326.0715
2733	495102.6049	5421579.3319	328.8955
2743	495046.1914	5421266.6924	307.2645
2753	495397.4318	5421220.6968	273.4555
2773	495862.7723	5420404.0157	287.8935
2783	494326.3741	5420574.0129	346.3565
2803	495720.9304	5421639.2633	278.8425
2813	495687.8977	5421779.5736	281.4775
2833	496013.9424	5420838.4771	270.7925
2843	496305.9678	5420398.7084	271.2525
2853	496355.1505	5420593.9297	270.8805
2863	496420.1948	5420587.9465	271.5325
2873	496371.5198	5421749.6705	324.3685
2883	496533.9744	5421319.8434	327.6565
2893	496842.4791	5421357.9931	330.3745
2903	497136.5558	5420085.2486	282.2295
2913	497059.0367	5420665.1573	302.5815
2923	498806.9593	5422531.1506	333.0035
2999	495373.2779	5422393.4409	333.2995
3000	495373.0915	5422392.7996	333.2805
3002	494915.5940	5422418.0930	314.0155
3003	495984.5594	5422258.9517	312.7445
3004	496926.4102	5422189.5360	320.0315
3005	493502.9079	5420670.8835	273.4755
3006	497576.1552	5422281.4367	324.6325
3007	497298.9904	5421963.7707	333.2965
3008	496947.7149	5421776.2594	326.5765
3009	497488.3177	5420746.6174	349.6685
3010	497519.3221	5420497.8528	306.1225
3011	497631.0012	5419857.3139	279.5465
3012	494228.1243	5421902.0355	366.3375
3013	494734.9321	5422038.4780	321.0625
3015	495568.5906	5420755.7507	304.0495
3016	495143.8397	5420531.1712	344.2845
3018	497207.8341	5420465.6520	291.7445
3019	496927.7307	5420250.3295	281.7095
3020	494079.9651	5421040.0447	276.6105
3021	494117.9436	5422167.1551	340.9585
3022	494401.7103	5422370.0441	312.7935
3023	494031.5082	5419953.1484	328.7515
3024	495576.3013	5419872.4476	341.2225
3025	495072.0547	5419950.8885	371.4105
3026	496803.3368	5420876.5749	296.7475
9001	497423.7084	5421574.8353	347.2974
9002	497255.2036	5421572.7594	342.2675
101019	492483.5143	5419030.0151	383.4065
104029	493920.1157	5419123.8540	375.3985
105019	494342.6867	5418789.6162	332.8545
106019	494976.7271	5418887.7572	345.2505
